store_id,product_id,current_stock,last_updated
S012,P012,53,2026-12-31
S013,P012,331,2026-12-31
S014,P012,195,2026-12-31
S015,P012,164,2026-12-31
S016,P012,187,2026-12-31
S017,P012,740,2026-12-31
S018,P012,77,2026-12-31
S019,P012,706,2026-12-31
S020,P012,343,2026-12-31
S001,P013,334,2026-12-31
S002,P013,382,2026-12-31
S003,P013,91,2026-12-31
S004,P013,57,2026-12-31
S005,P013,390,2026-12-31
S006,P013,253,2026-12-31
S007,P013,321,2026-12-31
S008,P013,295,2026-12-31
S009,P013,373,2026-12-31
S010,P013,523,2026-12-31
S011,P013,303,2026-12-31
S012,P013,710,2026-12-31
S013,P013,297,2026-12-31
S014,P013,301,2026-12-31
S015,P013,828,2026-12-31
S016,P013,280,2026-12-31
S017,P013,82,2026-12-31
S018,P013,57,2026-12-31
S019,P013,718,2026-12-31
S020,P013,378,2026-12-31
S001,P014,103,2026-12-31
S002,P014,260,2026-12-31
S003,P014,229,2026-12-31
S004,P014,240,2026-12-31
S005,P014,47,2026-12-31
S006,P014,53,2026-12-31
S007,P014,510,2026-12-31
S008,P014,242,2026-12-31
S009,P014,91,2026-12-31
S010,P014,155,2026-12-31
S011,P014,567,2026-12-31
S012,P014,159,2026-12-31
S013,P014,430,2026-12-31
S014,P014,512,2026-12-31
S015,P014,202,2026-12-31
S016,P014,63,2026-12-31
S017,P014,115,2026-12-31
S018,P014,111,2026-12-31
S019,P014,106,2026-12-31
S020,P014,150,2026-12-31
S001,P015,147,2026-12-31
S002,P015,53,2026-12-31
S003,P015,108,2026-12-31
S004,P015,262,2026-12-31
S005,P015,37,2026-12-31
S006,P015,169,2026-12-31
S007,P015,153,2026-12-31
S008,P015,276,2026-12-31
S009,P015,201,2026-12-31
S010,P015,269,2026-12-31
S011,P015,229,2026-12-31
S012,P015,223,2026-12-31
S013,P015,210,2026-12-31
S014,P015,146,2026-12-31
S015,P015,325,2026-12-31
S016,P015,228,2026-12-31
S017,P015,190,2026-12-31
S018,P015,49,2026-12-31
S019,P015,112,2026-12-31
S020,P015,45,2026-12-31
S001,P016,227,2026-12-31
S002,P016,146,2026-12-31
S003,P016,193,2026-12-31
S004,P016,80,2026-12-31
S005,P016,77,2026-12-31
S006,P016,234,2026-12-31
S007,P016,260,2026-12-31
S008,P016,84,2026-12-31
S009,P016,330,2026-12-31
S010,P016,268,2026-12-31
S011,P016,355,2026-12-31
S012,P016,435,2026-12-31
S013,P016,693,2026-12-31
S014,P016,734,2026-12-31
S015,P016,586,2026-12-31
S016,P016,645,2026-12-31
S017,P016,66,2026-12-31
S018,P016,353,2026-12-31
S019,P016,353,2026-12-31
S020,P016,335,2026-12-31
S001,P017,257,2026-12-31
S002,P017,543,2026-12-31
S003,P017,130,2026-12-31
S004,P017,385,2026-12-31
S005,P017,266,2026-12-31
S006,P017,159,2026-12-31
S007,P017,207,2026-12-31
S008,P017,228,2026-12-31
S009,P017,158,2026-12-31
S010,P017,246,2026-12-31
S011,P017,278,2026-12-31
S012,P017,46,2026-12-31
S013,P017,463,2026-12-31
S014,P017,50,2026-12-31
S015,P017,534,2026-12-31
S016,P017,395,2026-12-31
S017,P017,61,2026-12-31
S018,P017,139,2026-12-31
S019,P017,120,2026-12-31
S020,P017,41,2026-12-31
S001,P018,198,2026-12-31
S002,P018,130,2026-12-31
S003,P018,40,2026-12-31
S004,P018,43,2026-12-31
S005,P018,432,2026-12-31
S006,P018,218,2026-12-31
S007,P018,243,2026-12-31
S008,P018,154,2026-12-31
S009,P018,345,2026-12-31
S010,P018,182,2026-12-31
S011,P018,34,2026-12-31
S012,P018,197,2026-12-31
S013,P018,128,2026-12-31
S014,P018,183,2026-12-31
S015,P018,142,2026-12-31
S016,P018,443,2026-12-31
S017,P018,24,2026-12-31
S018,P018,147,2026-12-31
S019,P018,77,2026-12-31
S020,P018,289,2026-12-31
S001,P019,574,2026-12-31
S002,P019,432,2026-12-31
S003,P019,94,2026-12-31
S004,P019,236,2026-12-31
S005,P019,381,2026-12-31
S006,P019,490,2026-12-31
S007,P019,288,2026-12-31
S008,P019,103,2026-12-31
S009,P019,68,2026-12-31
S010,P019,315,2026-12-31
S011,P019,312,2026-12-31
S012,P019,444,2026-12-31
S013,P019,63,2026-12-31
S014,P019,753,2026-12-31
S015,P019,525,2026-12-31
S016,P019,285,2026-12-31
S017,P019,496,2026-12-31
S018,P019,804,2026-12-31
S019,P019,374,2026-12-31
S020,P019,774,2026-12-31
S001,P020,84,2026-12-31
S002,P020,178,2026-12-31
S003,P020,82,2026-12-31
S004,P020,211,2026-12-31
S005,P020,37,2026-12-31
S006,P020,47,2026-12-31
S007,P020,103,2026-12-31
S008,P020,175,2026-12-31
S009,P020,158,2026-12-31
S010,P020,228,2026-12-31
S011,P020,47,2026-12-31
S012,P020,133,2026-12-31
S013,P020,199,2026-12-31
S014,P020,280,2026-12-31
S015,P020,21,2026-12-31
S016,P020,199,2026-12-31
S017,P020,89,2026-12-31
S018,P020,251,2026-12-31
S019,P020,135,2026-12-31
S020,P020,96,2026-12-31
S001,P021,122,2026-12-31
S002,P021,192,2026-12-31
S003,P021,238,2026-12-31
S004,P021,645,2026-12-31
S005,P021,232,2026-12-31
S006,P021,77,2026-12-31
S007,P021,376,2026-12-31
S008,P021,208,2026-12-31
S009,P021,370,2026-12-31
S010,P021,54,2026-12-31
S011,P021,527,2026-12-31
S012,P021,303,2026-12-31
S013,P021,262,2026-12-31
S014,P021,771,2026-12-31
S015,P021,394,2026-12-31
S016,P021,62,2026-12-31
S017,P021,392,2026-12-31
S018,P021,395,2026-12-31
S019,P021,100,2026-12-31
S020,P021,360,2026-12-31
S001,P022,113,2026-12-31
S002,P022,131,2026-12-31
S003,P022,85,2026-12-31
S004,P022,143,2026-12-31
S005,P022,287,2026-12-31
S006,P022,310,2026-12-31
S007,P022,206,2026-12-31
S008,P022,268,2026-12-31
S009,P022,24,2026-12-31
S010,P022,42,2026-12-31
S011,P022,176,2026-12-31
S012,P022,166,2026-12-31
S013,P022,90,2026-12-31
S014,P022,32,2026-12-31
S015,P022,29,2026-12-31
S016,P022,84,2026-12-31
S017,P022,104,2026-12-31
S018,P022,78,2026-12-31
S019,P022,113,2026-12-31
S020,P022,280,2026-12-31
S001,P023,210,2026-12-31
S002,P023,29,2026-12-31
S003,P023,211,2026-12-31
S004,P023,227,2026-12-31
S005,P023,136,2026-12-31
S006,P023,258,2026-12-31
S007,P023,124,2026-12-31
S008,P023,61,2026-12-31
S009,P023,112,2026-12-31
S010,P023,128,2026-12-31
S011,P023,46,2026-12-31
S012,P023,50,2026-12-31
S013,P023,130,2026-12-31
S014,P023,172,2026-12-31
S015,P023,62,2026-12-31
S016,P023,138,2026-12-31
S017,P023,78,2026-12-31
S018,P023,24,2026-12-31
S019,P023,139,2026-12-31
S020,P023,111,2026-12-31
S001,P024,530,2026-12-31
S002,P024,91,2026-12-31
S003,P024,233,2026-12-31
S004,P024,373,2026-12-31
S005,P024,167,2026-12-31
S006,P024,404,2026-12-31
S007,P024,86,2026-12-31
S008,P024,117,2026-12-31
S009,P024,338,2026-12-31
S010,P024,70,2026-12-31
S011,P024,509,2026-12-31
S012,P024,272,2026-12-31
S013,P024,171,2026-12-31
S014,P024,521,2026-12-31
S015,P024,195,2026-12-31
S016,P024,65,2026-12-31
S017,P024,610,2026-12-31
S018,P024,227,2026-12-31
S019,P024,206,2026-12-31
S020,P024,298,2026-12-31
S001,P025,65,2026-12-31
S002,P025,107,2026-12-31
S003,P025,236,2026-12-31
S004,P025,125,2026-12-31
S005,P025,93,2026-12-31
S006,P025,271,2026-12-31
S007,P025,33,2026-12-31
S008,P025,10,2026-12-31
S009,P025,107,2026-12-31
S010,P025,87,2026-12-31
S011,P025,97,2026-12-31
S012,P025,44,2026-12-31
S013,P025,136,2026-12-31
S014,P025,243,2026-12-31
S015,P025,167,2026-12-31
S016,P025,230,2026-12-31
S017,P025,134,2026-12-31
S018,P025,25,2026-12-31
S019,P025,147,2026-12-31
S020,P025,35,2026-12-31
S001,P026,83,2026-12-31
S002,P026,206,2026-12-31
S003,P026,67,2026-12-31
S004,P026,106,2026-12-31
S005,P026,393,2026-12-31
S006,P026,272,2026-12-31
S007,P026,148,2026-12-31
S008,P026,33,2026-12-31
S009,P026,184,2026-12-31
S010,P026,340,2026-12-31
S011,P026,123,2026-12-31
S012,P026,196,2026-12-31
S013,P026,325,2026-12-31
S014,P026,522,2026-12-31
S015,P026,177,2026-12-31
S016,P026,359,2026-12-31
S017,P026,124,2026-12-31
S018,P026,40,2026-12-31
S019,P026,76,2026-12-31
S020,P026,365,2026-12-31
S001,P027,107,2026-12-31
S002,P027,184,2026-12-31
S003,P027,209,2026-12-31
S004,P027,69,2026-12-31
S005,P027,448,2026-12-31
S006,P027,307,2026-12-31
S007,P027,546,2026-12-31
S008,P027,229,2026-12-31
S009,P027,503,2026-12-31
S010,P027,313,2026-12-31
S011,P027,246,2026-12-31
S012,P027,280,2026-12-31
S013,P027,185,2026-12-31
S014,P027,270,2026-12-31
S015,P027,74,2026-12-31
S016,P027,83,2026-12-31
S017,P027,223,2026-12-31
S018,P027,212,2026-12-31
S019,P027,34,2026-12-31
S020,P027,171,2026-12-31
S001,P028,101,2026-12-31
S002,P028,110,2026-12-31
S003,P028,18,2026-12-31
S004,P028,86,2026-12-31
S005,P028,151,2026-12-31
S006,P028,54,2026-12-31
S007,P028,101,2026-12-31
S008,P028,188,2026-12-31
S009,P028,131,2026-12-31
S010,P028,48,2026-12-31
S011,P028,230,2026-12-31
S012,P028,16,2026-12-31
S013,P028,124,2026-12-31
S014,P028,22,2026-12-31
S015,P028,32,2026-12-31
S016,P028,94,2026-12-31
S017,P028,192,2026-12-31
S018,P028,42,2026-12-31
S019,P028,91,2026-12-31
S020,P028,79,2026-12-31
S001,P029,345,2026-12-31
S002,P029,86,2026-12-31
S003,P029,737,2026-12-31
S004,P029,278,2026-12-31
S005,P029,287,2026-12-31
S006,P029,442,2026-12-31
S007,P029,337,2026-12-31
S008,P029,208,2026-12-31
S009,P029,354,2026-12-31
S010,P029,429,2026-12-31
S011,P029,200,2026-12-31
S012,P029,385,2026-12-31
S013,P029,376,2026-12-31
S014,P029,412,2026-12-31
S015,P029,639,2026-12-31
S016,P029,45,2026-12-31
S017,P029,364,2026-12-31
S018,P029,449,2026-12-31
S019,P029,86,2026-12-31
S020,P029,74,2026-12-31
S001,P030,166,2026-12-31
S002,P030,270,2026-12-31
S003,P030,447,2026-12-31
S004,P030,254,2026-12-31
S005,P030,35,2026-12-31
S006,P030,366,2026-12-31
S007,P030,151,2026-12-31
S008,P030,112,2026-12-31
S009,P030,33,2026-12-31
S010,P030,177,2026-12-31
S011,P030,177,2026-12-31
S012,P030,217,2026-12-31
S013,P030,315,2026-12-31
S014,P030,84,2026-12-31
S015,P030,536,2026-12-31
S016,P030,76,2026-12-31
S017,P030,509,2026-12-31
S018,P030,283,2026-12-31
S019,P030,522,2026-12-31
S020,P030,205,2026-12-31
